screen_name,betweenness_centrality,degree_in,followers_count,group,belongs_to,profile_image_url
VirtualDutch,2.8816,3,12,3,ukoer,http://a0.twimg.com/profile_images/336192623/logo_normal.gif
Nirajed,1.5811,2,10,1,"SCOREProject,ukoer",http://a0.twimg.com/profile_images/1562236077/Niraj_pic_normal.jpg
Ginglymus,0,0,14,1,ukoer,http://a0.twimg.com/profile_images/1516376575/hinge_jt_normal.jpg
ikemvandaba,0,0,12,4,SCOREProject,http://a0.twimg.com/profile_images/1425806043/e_tweeter.Wow__normal.jpg
EEhiyazaryan,0.68847,3,4,4,"SCOREProject,ukoer",http://a0.twimg.com/profile_images/2151349070/profile_esterehiyazaryan_normal.jpg
gilldickinson1,11.083,1,8,2,"SCOREProject,ukoer",http://a0.twimg.com/sticky/default_profile_images/default_profile_2_normal.png
LboroResStaff,0.32718,3,119,3,ukoer,http://a0.twimg.com/profile_images/892443025/LU-mark4-white_normal.png
CPD4HE,199.5,11,33,3,"SCOREProject,ukoer",http://a0.twimg.com/profile_images/1227190384/logo-cpd4he_v2_-_72_normal.jpg
IainBaird,0,0,10,3,ukoer,http://a0.twimg.com/sticky/default_profile_images/default_profile_4_normal.png
YvoMoore,0,1,6,0,ukoer,http://a0.twimg.com/profile_images/1450316474/avatar_normal.gif
oerafrica,104.92,54,255,4,ukoer,http://a0.twimg.com/profile_images/1976161305/OER-Logo_normal.jpg
sharedservices1,0.22881,2,25,0,ukoer,http://a0.twimg.com/profile_images/1187845619/Helping_Hands_normal.jpg
Matthew_DHunter,0,1,2,3,SCOREProject,http://a0.twimg.com/sticky/default_profile_images/default_profile_6_normal.png
ENGrich,6.7866,7,17,1,ukoer,http://a0.twimg.com/profile_images/1657128306/5622329726_5964cd2329_m_normal.jpg
HederaUK,199.11,11,30,1,"SCOREProject,ukoer",http://a0.twimg.com/profile_images/1879482141/Slide2_normal.png
MkeylorM,0,0,8,3,SCOREProject,http://a0.twimg.com/profile_images/1850694242/c34a1436_normal.gif
gkarlsson,4.7875,1,17,4,ukoer,http://a0.twimg.com/profile_images/1737928872/goranmin_normal.GIF
isobelf,1.6921,7,56,1,ukoer,http://a0.twimg.com/profile_images/55684064/isobel2_normal.jpg
aliewing,1.0788,2,23,4,ukoer,http://a0.twimg.com/profile_images/1490066658/Ali_normal.jpg
hejupirk,83.525,4,17,4,SCOREProject,http://a0.twimg.com/profile_images/1643599582/henri2_resized1_normal.jpg
circlespace,49.207,12,39,0,ukoer,http://a0.twimg.com/profile_images/329823129/circle-650w_normal.jpg
TerryTechdis,22.977,12,36,1,SCOREProject,http://a0.twimg.com/profile_images/1377308950/Terry_normal.jpg
edupunk_phil,1433.1,12,48,2,ukoer,http://a0.twimg.com/profile_images/1381595209/bburn_market_normal.jpg
lynchp1,1.3663,4,49,2,ukoer,http://a0.twimg.com/profile_images/1096082197/sppatrick80_normal.jpg
LDevEssex,2.0143,3,22,3,SCOREProject,http://a0.twimg.com/profile_images/1250544625/imagesCAVI4J88_normal.jpg
discthink,107.71,18,39,1,ukoer,http://a0.twimg.com/profile_images/2033321346/thinker-board_normal.png
Adapt_OER,414,3,23,4,ukoer,http://a0.twimg.com/profile_images/1959241989/med-res-colour_icon_normal.jpg
sinkil1812,0,0,5,4,SCOREProject,http://a0.twimg.com/sticky/default_profile_images/default_profile_3_normal.png
ClareGash,53.12,4,9,3,ukoer,http://a0.twimg.com/sticky/default_profile_images/default_profile_4_normal.png
BLHdSocSci,0,1,43,2,ukoer,http://a0.twimg.com/profile_images/1810714195/lovesocsci_normal.jpg
c_stefanelli,18.239,2,17,4,SCOREProject,http://a0.twimg.com/profile_images/1664330652/cri_normal.jpg
jopeat,18.196,2,23,3,SCOREProject,http://a0.twimg.com/profile_images/1440703181/Jo_and_Zeke_normal.JPG
dimpleMED,0,2,22,4,SCOREProject,http://a0.twimg.com/profile_images/1161186617/dimple_logo_normal.png
yiannis1965,0,1,36,0,ukoer,http://a0.twimg.com/profile_images/1265782004/image300_normal.jpg
chrisgo1,13.873,7,27,1,SCOREProject,http://a0.twimg.com/profile_images/1292961697/upsidedown-small_normal.jpg
DaneWard1,0,0,21,2,ukoer,http://a0.twimg.com/profile_images/1339246267/speaker_ward_normal.jpg
katy_jordan,3.6131,5,45,0,SCOREProject,http://a0.twimg.com/profile_images/1072512775/katyj_normal.jpg
VillageAunties,0,2,49,1,ukoer,http://a0.twimg.com/profile_images/1596211156/villageauntieslogo2_normal.jpg
anatolica,0,0,17,2,ukoer,http://a0.twimg.com/profile_images/327526303/spirited_away-thumb_normal.jpg
mdeimann,30.434,13,83,4,SCOREProject,http://a0.twimg.com/profile_images/715668053/markus_skype_normal.jpg
